ID,Author,Author_Greek,Work_Title,Work_Title_English,TLG_or_Ref,Date_Approx,Book_Chapter_Line,Greek_or_Source_Text_Excerpt,English_Translation_or_Summary,Substance_Described,Substance_Latin_Scientific,Ritual_Context,Death_Resurrection_Relevance,Hypothesis_Relevance,Notes
1,Homer,Ὅμηρος,Ὀδύσσεια,Odyssey,TLG 0012.002,~700 BCE,4.219-221,"αὐτίκ' ἄρ' εἰς οἶνον βάλε φάρμακον, ἔνθεν ἔπινον, νηπενθές τ' ἄχολόν τε","She cast into the wine a pharmakon: nepenthes free from gall, a remedy for grief",Nepenthes (opium preparation),Papaver somniferum,None — domestic/social,Suppresses grief and memory of death; forgetting = symbolic death of self,"H1 — pharmacological background; Egypt as drug source (parallel to Exodus/Moses/Jesus/Egypt)"
2,Homer,Ὅμηρος,Ὀδύσσεια,Odyssey,TLG 0012.002,~700 BCE,10.234-236,"δῶκε κυκεῶ τε καὶ τυρόν... φάρμακα λύγρ'","Circe gave them kykeon with baneful pharmaka mixed in Pramnian wine",Circe's transformation drug,Unknown / possibly Datura stramonium,Sorcery / divine intervention,Transformation = death of human identity; Hermes provides antidote,"H1 — primal death-inducer/antidote dyad; kykeon = Eleusinian drink; first appearance"
3,Homer,Ὅμηρος,Ὀδύσσεια,Odyssey,TLG 0012.002,~700 BCE,10.302-306,"ἀντίφαρμακον ὄπασσε... μῶλυ δέ μιν καλέουσι θεοί","Hermes gave an antidote (ἀντίφαρμακον); the gods call it moly",Moly (antidote),Peganum harmala? Allium sativum?,Divine gift for protection against death-drug,Antidote to Circe's death/transformation; first use of ἀντίφαρμακον,"H1 — death-inducer/antidote dyad is the primal pharmacological structure; recurs in theriac tradition"
4,Homeric Hymns,Ὁμηρικοὶ Ὕμνοι,Ὕμνος εἰς Δήμητρα,Hymn to Demeter,TLG 0012.003,~650-550 BCE,206-211,"κυκεῶ τεῦξαι ἐκέλευσε ἀλφίτῳ ἐν ὕδατι βληχῶνί τε μαλακῷ","She commanded a kykeon of barley, water, and soft pennyroyal",Kykeon: barley + water + pennyroyal (+ ergot?),Hordeum vulgare; Mentha pulegium; Claviceps purpurea (hypothetical),Eleusinian Mystery initiatory drink,Demeter refuses wine (Dionysiac); accepts kykeon = initiatory substance for death/rebirth experience,"H1 + H3 — Eleusinian initiation is death/rebirth structured; kykeon is the pharmacological vehicle"
5,Pindar,Πίνδαρος,Πυθιονῖκαι,Pythian Odes,TLG 0033.002,474 BCE,Pyth. 3.54-58,"ὁ δὲ καὶ τὸν ἐκεῖθεν ἀμαχανίᾳ δεδεμένον ἤδη τιν' ἄνδρ' ἐκ θανάτου κόμισεν","Asclepius brought back a man from death — Zeus destroyed him for it",Resurrection drug (unspecified),Unknown,Medical-divine healing; raising the dead,"Healer who raises dead is killed = pharmacological resurrection as divine transgression; parallel to Jesus (raises Lazarus; killed)","H1 — Asclepius/Jesus structural parallel: pharmacological resurrection leads to healer's death"
6,Pindar,Πίνδαρος,Πυθιονῖκαι,Pythian Odes,TLG 0033.002,462 BCE,Pyth. 4.221-223,"πολυφάρμακοι Μήδειαν... θελξίμβροτοι ἐπᾳοιδαί","Medea skilled in many drugs with man-enchanting chants",Multiple pharmaka,Various plant alkaloids,Hecate worship / Colchian magical tradition,Drug + incantation inseparable; Medea = ur-pharmacist,"H1 — mythological charter of Greek pharmacology; polypharmakos as honorific"
7,Euripides,Εὐριπίδης,Μήδεια,Medea,TLG 0006.003,431 BCE,384-385,"ἐκ τῆς γὰρ Ἑκάτης Φεραίας, ἣν ἐγὼ πάντων μάλιστα δαιμόνων σέβω ξύνεργον","From Hecate of Pherae whom I revere above all divine powers as my collaborator",Hecate's pharmaka,Mandrake; aconite; various alkaloids,Hecate worship / chthonic religion,Hecate = goddess of underworld pharmaka; source of death and antidote knowledge,"H1 — Hecate as divine source of pharmacological power; transmitted to mortal practitioners"
8,Euripides,Εὐριπίδης,Μήδεια,Medea,TLG 0006.003,431 BCE,1200-1221,"[prose] The poisoned robe adheres and burns; Glauce and Creon die in agony",Poisoned robe / contact poison (aconite in oil?),Aconite or phosphorus compound,Personal revenge,Anointing garment = death by χρίω; inversion of royal consecration,"H3 — pharmacological inversion of χριστός: anointing garment kills instead of consecrates"
9,Euripides,Εὐριπίδης,Βάκχαι,Bacchae,TLG 0006.016,405 BCE,772-774,"ὁ δ' αὖ θεὸς Βρόμιος οἶνον ἀνθρώποις φέρει","The god Bromios brings wine to men; if wine dies there is no more love",Wine as Dionysiac pharmakon,Vitis vinifera (ethanol; possible additives),Dionysiac thiasos / initiatory frenzy,Wine = life-giver and death-inducer; sparagmos = death; ecstatic return = rebirth,"H1 + H2 — Dionysiac wine-death-rebirth structure is direct parallel to Last Supper wine theology"
10,Euripides,Εὐριπίδης,Βάκχαι,Bacchae,TLG 0006.016,405 BCE,1125-1136,"[prose] Agave tears off Pentheus's head in Dionysiac frenzy — sparagmos",Possession-induced ritual violence,Dionysiac frenzy (divine madness / θεία μανία),Dionysiac cult: sparagmos and omophagia,Tearing apart (σπαραγμός) = ritual death; mirrors Dionysus's own dismemberment and resurrection,"H1 — sparagmos/omophagia as death-rite; resurrection of Dionysus as mystery pattern"
